model_name,size_hidden,center_finder,sigmas,reg_lambda
RIME-RBF,40,random,2.3690366336788693,3.896187619846441
SHADE-RBF,45,random,3.0,8.155490992379663
INFO-RBF,50,kmeans,2.9426107962349306,9.912728688217694
GridSearchCV,34,kmeans,2.6,8.1
RandomizedSearchCV,30,kmeans,1.9298246757881552,9.446657321710951
