model_name,time_taken,AS,PS,RS,F1S,SS,NPV
RIME-RBF,199.07579094101675,0.6860986547085202,0.6743427458617333,0.6501341606573872,0.6528642590286426,0.6501341606573872,0.6743427458617333
SHADE-RBF,358.12533752899617,0.6905829596412556,0.6815768383089561,0.6519788696964615,0.6545740262655741,0.6519788696964615,0.6815768383089561
INFO-RBF,495.0581824470428,0.6771300448430493,0.6634858812074003,0.6407848398457152,0.6429460950008895,0.6407848398457152,0.6634858812074003
GridSearchCV,34115.064083153964,0.6771300448430493,0.6713651498335182,0.6294650343786684,0.6280578206078576,0.6294650343786684,0.6713651498335182
RandomizedSearchCV,204.27131203602767,0.6636771300448431,0.6594202898550725,0.6088378333053832,0.601643444087174,0.6088378333053832,0.6594202898550725
