model_name,seed,MAE,RMSE,NNSE,WI,R,KGE
LDW-PSO-RBF,10,0.03877173181303228,0.049606756307603465,0.9468209089139867,0.985486507637652,0.9715683645224501,0.9640760024256553
LDW-PSO-RBF,24,0.03868293648222099,0.049577603586602084,0.9468800755011455,0.9854871950832691,0.9715930528775777,0.9633433036755241
LDW-PSO-RBF,30,0.03852478868094731,0.04951999187405812,0.9469969201576701,0.9855256401052341,0.9716623037964038,0.9635554014890748
LDW-PSO-RBF,35,0.03887173059582791,0.04983696041500732,0.9463527398533629,0.9853485954571144,0.9712995853415309,0.9639182455069151
LDW-PSO-RBF,15,0.03863191669818884,0.04955571487120257,0.9469244815008289,0.9855123783062704,0.971626489051629,0.9638216297884387
LDW-PSO-RBF,29,0.03869614497827695,0.0497717912876471,0.9464854480653905,0.9853810585586184,0.9713719537899542,0.9636223086145929
LDW-PSO-RBF,27,0.039160204428712056,0.05029413125482622,0.9454179461720987,0.9850473934826766,0.9707564290933853,0.962052197217421
LDW-PSO-RBF,21,0.03869644315570393,0.04977130314940587,0.9464864415787637,0.9853699372343073,0.9713729001327399,0.9628387767566138
LDW-PSO-RBF,40,0.03871800666749652,0.049687156248590464,0.9466575922403117,0.9854296530373893,0.9714699785934361,0.9635903381518198
LDW-PSO-RBF,42,0.038583787334848824,0.04966229133720422,0.9467081226486551,0.9854390833588301,0.9714952804255589,0.963362563686454
CL-PSO-RBF,21,0.0386339071550865,0.04979731945254332,0.9464334796265371,0.9853611804743171,0.9713393511493098,0.9634097801397323
CL-PSO-RBF,15,0.03863104138426867,0.049584365572026154,0.9468663542268808,0.9854989629662965,0.9715956330487573,0.9639441767253397
CL-PSO-RBF,27,0.03898346574713893,0.04992576049437277,0.9461716908898087,0.985296763113819,0.9711977397523953,0.9638146572772996
CL-PSO-RBF,10,0.03857640004957915,0.04957182746885218,0.946891795106991,0.9855009736940455,0.9716084251518069,0.9636437677110824
CL-PSO-RBF,29,0.03875801095361252,0.04976325543845502,0.9465028200734198,0.9854029911535849,0.9713931164175691,0.9642807015637593
CL-PSO-RBF,24,0.03885218010173857,0.05005338271386489,0.9459110471123654,0.9852116210351749,0.9710517343865083,0.9630118225773034
CL-PSO-RBF,30,0.038725649281287085,0.049729444636110724,0.9465716082012936,0.9854004925809583,0.9714186333639653,0.9633812099011657
CL-PSO-RBF,42,0.03856685336514098,0.049697619103174426,0.9466363237067568,0.9854221515977281,0.9714590514585568,0.9634086400822915
CL-PSO-RBF,40,0.038910847222677604,0.05005591967369009,0.9459058605733592,0.985232966131232,0.9710592544091471,0.964136699851661
CL-PSO-RBF,35,0.03884469463714862,0.049938791191867726,0.9461451021273086,0.9852859944565546,0.9711835515286888,0.9635579048348923
SMA-RBF,10,0.03919995941940617,0.05052609522675974,0.9449410891405898,0.9849424202800182,0.9704987743063964,0.9636260231689852
SMA-RBF,24,0.039456992898382955,0.05081170606860876,0.9443515996992509,0.9847666372862632,0.970160660645134,0.9632017534877081
SMA-RBF,21,0.039223410061450324,0.05070940510193576,0.9445630421476723,0.984837191247026,0.9702862814453344,0.9636448168856953
SMA-RBF,15,0.039216231563243414,0.05041058859526903,0.9451787545873109,0.9850089714722219,0.9706339824646982,0.9634633808513434
SMA-RBF,27,0.03950797049132923,0.050723000401585325,0.9445349615785427,0.9848042705284475,0.9702607452603451,0.9623645743133454
SMA-RBF,35,0.040239923814595235,0.051692886004445646,0.9425166587756141,0.9842215720369772,0.9691057432972783,0.96224018335481
SMA-RBF,29,0.03966570758073244,0.05058604424677955,0.944817571356093,0.9849110533168931,0.9704252334285266,0.9640179457077195
SMA-RBF,30,1.3105125647650626,62.19830428866269,1.1325218308704888e-05,0.00016782922851998894,0.012468766852476068,-196.63991210499262
GBO-RBF,15,0.038667566326472315,0.04958677727032869,0.9468614601044425,0.9854915826281799,0.9715884964347101,0.9637177046643326
GBO-RBF,10,0.03872838402569375,0.04954734151448472,0.9469414645837517,0.9855188075790414,0.9716354874021326,0.9639881732106108
SMA-RBF,40,0.039294669568461844,0.05048108137218752,0.9450337597250567,0.9848718152040907,0.9705219552160632,0.9587014684250752
SMA-RBF,42,0.03971350079536471,0.05109117195440995,0.9437722942612631,0.984594379927335,0.969820214177604,0.9632429660252805
GBO-RBF,21,0.03870820541842398,0.049711817599007876,0.9466074558563101,0.9853974511496563,0.9714382067211162,0.9625725436993642
GBO-RBF,24,0.038726352394523295,0.049620490999202564,0.9467930243309328,0.9854687039466766,0.9715463324572053,0.9636730272229196
GBO-RBF,29,0.038652885703371165,0.04958717875817381,0.9468606453364585,0.9855050300405092,0.9715953475924238,0.9643211196666042
GBO-RBF,27,0.038790363980586585,0.049735079881026927,0.9465601458396824,0.9853978361712707,0.9714140096939748,0.9633252611724322
GBO-RBF,30,0.03857596283318099,0.04959272348785062,0.9468493924889279,0.9854809632447183,0.9715764440734224,0.9634773429549538
GBO-RBF,35,0.038741672057416375,0.04974379527994825,0.9465424162844368,0.9853885132365788,0.9714039198176023,0.9630833620425916
GBO-RBF,40,0.03860262878463762,0.04949186996881063,0.947053916455675,0.9855410506038496,0.9716940241200311,0.9635107981272869
GBO-RBF,42,0.038455240768979285,0.049580177897038814,0.9468748519399253,0.9854870346637938,0.9715934474305906,0.963255575546303
PSS-RBF,15,0.03861696007087074,0.0496325272387675,0.9467685830004755,0.985467715839125,0.9715385636696623,0.9637829235027641
PSS-RBF,10,0.038678823187307664,0.049854000469024384,0.9463180175672214,0.9853355673984258,0.9712795637041127,0.9636448402296504
PSS-RBF,21,0.03872905033193881,0.049792599364880744,0.946443090026276,0.985358896444268,0.9713451464256952,0.9631039060505494
PSS-RBF,24,0.03874356219834656,0.04968023307871855,0.9466716634870169,0.9854355203514685,0.9714781388732009,0.9637295970713025
PSS-RBF,27,0.038786496730130786,0.0497635922750218,0.9465021345940309,0.9853690073608499,0.9713737131910997,0.9628345769741562
PSS-RBF,29,0.03878847547499073,0.04978710817867716,0.9464542695310666,0.9853748972380459,0.9713537721325279,0.9638630912200267
PSS-RBF,30,0.038653993856977965,0.04967178696403863,0.9466888280090705,0.9854273829810773,0.971482544100201,0.9630750642974897
PSS-RBF,35,0.03873801875117166,0.04974604529873754,0.9465378387212302,0.9853936292135868,0.9714067489931983,0.9632526776886015
SADE-RBF,10,0.038534174439326045,0.04946649632036756,0.947105320800218,0.9855622507698678,0.9717284111798437,0.9637407511614057
PSS-RBF,40,0.03868682248426533,0.049636098816539714,0.9467613294960363,0.9854632479202332,0.9715304443237351,0.9638036224630991
PSS-RBF,42,0.03858925187302105,0.04969704177642944,0.9466374973686694,0.9854219923952486,0.9714580634639005,0.9634379665862143
SADE-RBF,15,0.03869537407064267,0.049734682545110084,0.9465609540736817,0.9854067981895285,0.9714252709968223,0.9634912182797083
SADE-RBF,21,0.038633236361617904,0.04963333153011783,0.9467669496039065,0.9854649594468247,0.9715397171041977,0.9635489777466487
SADE-RBF,27,0.03880009974737989,0.049741146912149245,0.9465478040624413,0.9853934336422073,0.9714060203114845,0.9633098319485089
SADE-RBF,24,0.03865666148756481,0.04955929041040408,0.9469172288006341,0.9855037341997817,0.971616706798544,0.9636299476802858
SADE-RBF,29,0.03845667401552896,0.04954021474104523,0.9469559175296303,0.985506730854644,0.9716343612596994,0.9632567549428277
SADE-RBF,30,0.03858130146584807,0.04958439285580605,0.9468662988602411,0.9854831832431002,0.9715857831181114,0.9633122301516692
SADE-RBF,35,0.038751374052623605,0.04975184018890999,0.9465260485253423,0.9853922968045287,0.9714003039021886,0.9633957951396737
SADE-RBF,40,0.03859029799118469,0.04948906197226411,0.9470596061840721,0.9855442492084661,0.9716975791642631,0.9636164789469432
CMA-ES-RBF,10,0.03919995941940627,0.05052609522675968,0.9449410891405898,0.9849424202800183,0.9704987743063966,0.9636260231689892
SADE-RBF,42,0.038466168861966306,0.0495436603803927,0.9469489300503803,0.9855056116047146,0.9716317177064391,0.9632562379992136
CMA-ES-RBF,15,0.03871105523499478,0.049820342289152726,0.9463865934024392,0.9853647128809017,0.9713282488132511,0.9639298678330341
CMA-ES-RBF,21,0.039410233154993514,0.050893455667887506,0.9441823960769007,0.9846975030393099,0.970061370690946,0.961832279302387
CMA-ES-RBF,24,0.03936570754445727,0.050777802738188174,0.9444217100782479,0.9847776933043829,0.9702031981490981,0.9624257743408067
CMA-ES-RBF,27,0.03977403805470476,0.05110596167565733,0.943741567950284,0.9845864659827023,0.9698112563222777,0.9629032145266447
CMA-ES-RBF,30,0.03880382575658082,0.05000190900148317,0.9460162350283712,0.9852434816137564,0.9711076692442961,0.9632838551080225
CMA-ES-RBF,29,0.039501437197687804,0.0510421399317843,0.9438741111757291,0.9846408163041991,0.969900919736009,0.9633765608269237
CMA-ES-RBF,40,0.039287711590737295,0.05084011269889267,0.9442928282102668,0.9847231843942529,0.9701161219835512,0.9618564441824271
CMA-ES-RBF,35,0.03938205877576054,0.050588275803966014,0.9448129712957011,0.9848826037399122,0.9704151419890588,0.9624278693077392
CMA-ES-RBF,42,0.03968718609799862,0.05121076045494932,0.9435236464273234,0.9845234482117159,0.9696914346589148,0.9626166656259829
SHADE-RBF,10,0.03853418087310433,0.04946660548127066,0.9471050996962145,0.9855622060338676,0.9717282988604008,0.9637414337702938
SHADE-RBF,15,0.03864061181424935,0.049583583749664935,0.9468679407592133,0.9855022303113754,0.9715982972960945,0.9640575037486407
SHADE-RBF,21,0.03863348529200645,0.04963361868525356,0.9467663664293239,0.9854648414235179,0.9715394323421379,0.9635503074180902
