Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
GA,0,7,0.6411368632059546,0.6258064516129033,0.6112075378130424,0.6258064516129033,0.6165966386554622,0.6129535937705948,0.6112075378130424,0.5226872049731188,1.0815457152108525,0.46528638730473604,1.4267998688241363,0.726027397260274
GA,1,8,0.6426845268008686,0.5944600062247121,0.5752541532358046,0.5944600062247121,0.5797697368421053,0.576061776061776,0.5752541532358046,0.48168626137317283,1.1421839601971475,0.41445574014381353,1.3272021539695582,0.7123287671232876
GA,2,11,0.6465645156625307,0.5978618421052632,0.5885197123729234,0.5978618421052632,0.5919932410476376,0.5896464646464648,0.5885197123729234,0.4909857147550576,1.0926528281367127,0.4393131663773865,1.330250352356219,0.7054794520547946
GA,3,15,0.6370172713215564,0.5907750067042102,0.5839325564096206,0.5907750067042102,0.5866151866151866,0.5848403425615635,0.5839325564096206,0.4832306959765317,1.0902098988090512,0.4354078849491693,1.3047141187110336,0.6986301369863014
GA,4,20,0.6474679857022811,0.5717398070339247,0.5571534837589884,0.5717398070339247,0.5597587719298245,0.5572715572715573,0.5571534837589884,0.45700465477189534,1.1665276781628675,0.39263575502107617,1.248501141647391,0.6986301369863014
GA,5,21,0.6356337526211323,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
GA,6,22,0.6451179110891613,0.6353773584905661,0.6423258120505827,0.6353773584905661,0.6384173965569314,0.6406532150427887,0.6423258120505827,0.5425157155299145,1.0307980937914731,0.5153111827423754,1.4375176024215317,0.7191780821917808
GA,7,23,0.6427584739167712,0.6741879494173072,0.6741879494173072,0.6741879494173072,0.6741879494173072,0.6741879494173072,0.6741879494173072,0.5897135039013959,1.02966891040113,0.5514505331019093,1.5722763029455296,0.7534246575342466
GA,8,24,0.6410873042892677,0.6258064516129033,0.6112075378130424,0.6258064516129033,0.6165966386554622,0.6129535937705948,0.6112075378130424,0.5226872049731188,1.0815457152108525,0.46528638730473604,1.4267998688241363,0.726027397260274
GA,9,27,0.6458685695744517,0.6415441176470589,0.6336474088767667,0.6415441176470589,0.6371168185584092,0.6349262051816797,0.6336474088767667,0.5454792761071943,1.0545837785618983,0.4973344904537565,1.472609245781129,0.7328767123287672
GA,10,28,0.6433826030771043,0.6000589448865311,0.5841805107860154,0.6000589448865311,0.588897827835881,0.5854047261470562,0.5841805107860154,0.49048815158120096,1.1165460472162416,0.42896107116290605,1.3430237966777034,0.7123287671232876
GA,11,30,0.6417542374314177,0.6000589448865311,0.5841805107860154,0.6000589448865311,0.588897827835881,0.5854047261470562,0.5841805107860154,0.49048815158120096,1.1165460472162416,0.42896107116290605,1.3430237966777034,0.7123287671232876
GA,12,32,0.6485707499746406,0.5922413793103448,0.5795933548227126,0.5922413793103448,0.5835489220563848,0.5806770070021169,0.5795933548227126,0.482680546733954,1.1138486667724565,0.42517976692288617,1.3145767247791924,0.7054794520547946
GA,13,35,0.6547375534206087,0.6215738284703802,0.6022811802628316,0.6215738284703802,0.608474121748458,0.6040498155924029,0.6022811802628316,0.5147506205535247,1.1000191692661696,0.45102901066203815,1.4167814908086973,0.726027397260274
GA,14,37,0.6384610549808333,0.6267676767676768,0.6244730969501612,0.6267676767676768,0.6255707762557078,0.6249004618569836,0.6244730969501612,0.529299452858448,1.0509277250767335,0.4887800644681379,1.4187451003964764,0.7191780821917808
GA,15,39,0.6432565537043149,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
GA,16,40,0.6452859974045312,0.5944600062247121,0.5752541532358046,0.5944600062247121,0.5797697368421053,0.576061776061776,0.5752541532358046,0.48168626137317283,1.1421839601971475,0.41445574014381353,1.3272021539695582,0.7123287671232876
GA,17,41,0.643217925403964,0.6171802054154996,0.5933548227126209,0.6171802054154996,0.5997807017543859,0.5948519948519948,0.5933548227126209,0.5063678679744503,1.121951381811314,0.4365236796429457,1.4059031662917252,0.726027397260274
GA,18,42,0.6465919701213818,0.6178728070175439,0.6066203818497397,0.6178728070175439,0.6109702996035614,0.6080808080808081,0.6066203818497397,0.5146607977897061,1.0793104826196998,0.46125712868832136,1.3977805364514684,0.7191780821917808
GA,19,45,0.6425668191834882,0.591642228739003,0.5619885940986858,0.591642228739003,0.5645595402633302,0.5609243697478993,0.5619885940986858,0.47029629379497695,1.2141846584710736,0.38811058765187206,1.3256219037515278,0.7191780821917808
JADE,0,7,0.6520077178352279,0.6341954022988505,0.6157946937763452,0.6341954022988505,0.6222885572139303,0.6178248656570592,0.6157946937763452,0.530803286572656,1.083788556841116,0.46931564592115055,1.4576552351148997,0.7328767123287672
JADE,1,8,0.6435763110954927,0.6452020202020202,0.6425737664269775,0.6452020202020202,0.6438356164383561,0.6430661729574773,0.6425737664269775,0.5522604551580359,1.0432571906361634,0.5109719811554674,1.4796383122071195,0.7328767123287672
JADE,2,11,0.6457190688051867,0.6103513006167873,0.6020332258864369,0.6103513006167873,0.6054054054054054,0.6032062313196268,0.6020332258864369,0.5067202097957803,1.07708331627605,0.4572278700719068,1.3704279463798827,0.7123287671232876
