Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
GA,0,7,0.9815113986992513,0.9836956521739131,0.9722222222222222,0.9836956521739131,0.9774269928966062,0.9741798756019261,0.9722222222222222,0.9703834368796838,1.0004084133313016,0.9583333333333333,2.1012479871175525,0.9790209790209791
GA,1,8,0.985005216269877,0.9644654088050315,0.9609862671660424,0.9644654088050315,0.9626690335717641,0.9616458566022636,0.9609862671660424,0.9509322329266359,1.0001481831730448,0.9421036204744069,2.0507007749746777,0.965034965034965
GA,2,11,0.9842308561686108,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9412885591986038,1.0000653765534069,0.9339887640449438,2.0268052756567814,0.958041958041958
GA,3,15,0.9801260120842075,0.9794549266247379,0.9758635039533916,0.9794549266247379,0.9776014201430585,0.9765449180655807,0.9758635039533916,0.9705593397559815,1.0000873905806353,0.9640033291718684,2.0846096467465984,0.9790209790209791
GA,4,20,0.9820701174954527,0.9702455264253016,0.9702455264253016,0.9702455264253016,0.9702455264253016,0.9702455264253016,0.9702455264253016,0.9608590394657358,1.0000281704388874,0.9557844361215148,2.060351803968164,0.972027972027972
GA,5,21,0.9799474433484632,0.946590909090909,0.9497503121098627,0.946590909090909,0.9481158969574457,0.9490833084006516,0.9497503121098627,0.9316969378074963,1.0000156053713698,0.9258739076154806,2.0037609238451934,0.951048951048951
GA,6,22,0.9845745589775722,0.946590909090909,0.9497503121098627,0.946590909090909,0.9481158969574457,0.9490833084006516,0.9497503121098627,0.9316969378074963,1.0000156053713698,0.9258739076154806,2.0037609238451934,0.951048951048951
GA,7,23,0.9803607638498224,0.946590909090909,0.9497503121098627,0.946590909090909,0.9481158969574457,0.9490833084006516,0.9497503121098627,0.9316969378074963,1.0000156053713698,0.9258739076154806,2.0037609238451934,0.951048951048951
GA,8,24,0.9820804544050972,0.9739010989010989,0.9666042446941323,0.9739010989010989,0.970020964360587,0.967916291028081,0.9666042446941323,0.9606298723965403,1.0002628908816467,0.9502184769038702,2.0754971464241128,0.972027972027972
GA,9,27,0.9796905187668311,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9553682896379525,0.9412885591986038,1.0000653765534069,0.9339887640449438,2.0268052756567814,0.958041958041958
