 Per Share Net profit before tax (Yuan ¥), Net profit before tax/Paid-in capital, Persistent EPS in the Last Four Seasons, Net Income to Stockholder's Equity, Borrowing dependency, Net Income to Total Assets, Continuous interest rate (after tax), Debt ratio %, Equity to Liability, Net worth/Assets,Bankrupt?
0.193869096934548,0.192896463313476,0.239670984211024,0.84229956366441,0.36963718146295,0.834156335212355,0.781725904711058,0.0632463645433383,0.060986623849788,0.936753635456662,0
0.229569932966785,0.228700701304577,0.277299801455989,0.845151256066971,0.370528514839526,0.859357990395887,0.7817340450825,0.125767149378722,0.0295889281586076,0.874232850621278,0
0.179859908111772,0.178915617223437,0.223314739529167,0.841089188871603,0.36963718146295,0.818100789328578,0.781774746939712,0.0048976630286906,0.47095104888714,0.995102336971309,0
0.156134668976425,0.155146670688485,0.197125839084807,0.836574751897121,0.386383512681091,0.779002116343536,0.781472290035259,0.230069232397134,0.0144658743165443,0.769930767602866,0
0.197107780372072,0.196139054369957,0.239954618511865,0.842009054299017,0.36963718146295,0.836056673499966,0.781917203439952,0.0152371738670375,0.220639225093905,0.984762826132963,0
0.199517963395345,0.19860493175477,0.254703602155621,0.844429078243373,0.377231968113303,0.84453058257168,0.781775869749566,0.144299664419385,0.0253491446002143,0.855700335580615,0
0.257061083075996,0.256157152552598,0.315212253001796,0.847107202943539,0.36963718146295,0.853173019697966,0.781852922575804,0.185536777821447,0.018889688584187,0.814463222178553,0
0.198614144761618,0.19766231807556,0.246572752198166,0.843074077762809,0.36963718146295,0.841313162321598,0.781727027520912,0.0904253711037881,0.0422534946213962,0.909574628896212,0
0.165624764630564,0.164663298393786,0.20298761463553,0.839357241492872,0.376374185553913,0.788899468041518,0.781495588339732,0.154760105209058,0.0233950261929134,0.845239894790942,0
0.212322060706485,0.210685468667521,0.255270870757304,0.843836484594378,0.375291612519376,0.840546430848403,0.78178260660869,0.134897360703812,0.0273598846467841,0.865102639296188,0
0.183324546207728,0.182391976472363,0.226151082537582,0.841639741019275,0.379080618140256,0.811229881157881,0.781640711513376,0.165311243462224,0.0216658025910948,0.834688756537775,0
